09/15/18 12:42:18 : New attack from [ 3(NXDOMAIN), 192.168.4.88 ], create new DROP rule in iptables
09/15/18 13:32:41 : Dos attack from [ ,  ] 
09/15/18 13:32:42 : Dos attack from [ ,  ] 
09/15/18 13:32:42 : Dos attack from [ ,  ] 
09/15/18 13:32:42 : Dos attack from [ ,  ] 
09/15/18 13:32:42 : Dos attack from [ ,  ] 
09/15/18 13:32:43 : Dos attack from [ ,  ] 
09/15/18 13:32:43 : Dos attack from [ ,  ] 
09/15/18 13:32:43 : Dos attack from [ ,  ] 
09/15/18 13:32:44 : Dos attack from [ ,  ] 
09/15/18 13:32:44 : Dos attack from [ ,  ] 
09/15/18 13:32:44 : Dos attack from [ ,  ] 
09/15/18 13:32:45 : Dos attack from [ ,  ] 
09/15/18 13:32:45 : Dos attack from [ ,  ] 
09/15/18 13:32:45 : Dos attack from [ ,  ] 
09/15/18 13:32:46 : Dos attack from [ ,  ] 
09/15/18 13:32:46 : Dos attack from [ ,  ] 
09/15/18 13:32:46 : Dos attack from [ ,  ] 
09/15/18 13:32:47 : Dos attack from [ ,  ] 
09/15/18 13:32:47 : Dos attack from [ ,  ] 
09/15/18 13:32:47 : Dos attack from [ ,  ] 
09/15/18 13:32:48 : Dos attack from [ ,  ] 
09/15/18 13:32:48 : Dos attack from [ ,  ] 
09/15/18 13:32:48 : Dos attack from [ ,  ] 
09/15/18 13:32:49 : Dos attack from [ ,  ] 
09/15/18 13:32:49 : Dos attack from [ ,  ] 
09/15/18 13:32:49 : Dos attack from [ ,  ] 
09/15/18 13:32:49 : Dos attack from [ ,  ] 
09/15/18 13:32:50 : Dos attack from [ ,  ] 
09/15/18 13:32:50 : Dos attack from [ ,  ] 
09/15/18 13:32:50 : Dos attack from [ ,  ] 
09/15/18 13:32:51 : Dos attack from [ ,  ] 
09/15/18 13:32:51 : Dos attack from [ ,  ] 
